C/NO-1 (dB-Hz),PR-1 (m),Elevation-1 (deg),output-1
45.363003,38367276.56,33.300697,LOS
45.336872,38367344.4,33.299976,LOS
45.085644,38367412.14,33.299255,LOS
44.995064,38367474.49,33.298531,LOS
45.463867,38367542.41,33.297806,LOS
46.189133,38367610.03,33.297085,LOS
47.330627,38367677.84,33.296364,LOS
47.373562,38367740.18,33.295631,LOS
47.715271,38367807.8,33.294914,LOS
47.6618,38367875.04,33.294189,LOS
47.403835,38367942.31,33.293468,LOS
46.747101,38368004.53,33.292755,LOS
46.046024,38368071.87,33.292027,LOS
46.361263,38368139.58,33.291302,LOS
47.250362,38368201.64,33.290581,LOS
46.871643,38368269.11,33.289856,LOS
46.213421,38368336.54,33.289139,LOS
44.690525,38368404.05,33.288418,LOS
44.727093,38368471.34,33.287697,LOS
46.130764,38368533.6,33.286972,LOS
47.796703,38368600.62,33.286255,LOS
48.495197,38368668.39,33.285538,LOS
47.606876,38368730.62,33.284809,LOS
46.072166,38368797.86,33.284096,LOS
45.970486,38368865.36,33.283371,LOS
46.582729,38368932.67,33.28265,LOS
46.107155,38368994.92,33.281929,LOS
45.906746,38369062.64,33.281212,LOS
46.412209,38369130.15,33.280499,LOS
47.676224,38369197.4,33.279774,LOS
46.894615,38369259.44,33.279053,LOS
45.423752,38369327.0,33.278336,LOS
45.122726,38369394.74,33.277618,LOS
44.902786,38369456.84,33.276897,LOS
45.371567,38369524.2,33.27618,LOS
45.761257,38369591.73,33.275459,LOS
45.455097,38369654.0,33.274738,LOS
45.384899,38369721.63,33.274025,LOS
46.011078,38369789.31,33.2733,LOS
45.408867,38369851.28,33.272587,LOS
45.364384,38369918.43,33.271862,LOS
45.406063,38369985.89,33.271149,LOS
45.005688,38370053.23,33.270435,LOS
45.010284,38370115.19,33.269722,LOS
46.299023,38370182.69,33.269001,LOS
46.850018,38370249.89,33.268284,LOS
46.944252,38370311.38,33.267567,LOS
46.033474,38370378.69,33.266846,LOS
46.33675,38370446.01,33.266136,LOS
46.113773,38370513.19,33.265415,LOS
46.42643,38370574.88,33.264702,LOS
46.931763,38370642.22,33.263981,LOS
47.647423,38370709.19,33.263271,LOS
48.017849,38370776.38,33.26255,LOS
47.734707,38370838.29,33.261837,LOS
47.392319,38370905.33,33.261124,LOS
47.495274,38370972.54,33.260406,LOS
47.452374,38371040.01,33.259693,LOS
46.856709,38371101.83,33.258976,LOS
46.199242,38371169.17,33.258263,LOS
45.530792,38371236.3,33.257553,LOS
46.371681,38371298.08,33.25684,LOS
46.98793,38371365.09,33.256119,LOS
47.648289,38371431.99,33.255402,LOS
47.419502,38371498.77,33.254692,LOS
47.47414,38371560.62,33.253979,LOS
48.061813,38371627.69,33.253258,LOS
47.464401,38371694.58,33.252548,LOS
47.112179,38371756.51,33.251839,LOS
46.076988,38371823.5,33.251125,LOS
45.668594,38371890.45,33.250408,LOS
45.399773,38371957.15,33.249695,LOS
45.181301,38372018.68,33.248985,LOS
45.519989,38372085.64,33.248268,LOS
45.173187,38372152.7,33.247555,LOS
44.897186,38372219.81,33.246841,LOS
45.711395,38372281.67,33.246132,LOS
47.144596,38372348.33,33.245422,LOS
47.643066,38372415.25,33.244709,LOS
46.599571,38372476.62,33.243996,LOS
45.793499,38372543.79,33.243279,LOS
44.958275,38372610.79,33.242569,LOS
45.736584,38372672.04,33.241856,LOS
45.918789,38372738.91,33.24115,LOS
46.179428,38372806.2,33.240433,LOS
46.683258,38372872.49,33.239731,LOS
46.35207,38372933.78,33.239014,LOS
46.140064,38373000.47,33.238308,LOS
45.374958,38373067.48,33.237595,LOS
45.487614,38373128.81,33.236885,LOS
45.778061,38373195.62,33.236164,LOS
45.575325,38373262.36,33.235466,LOS
45.912788,38373328.85,33.234749,LOS
46.584782,38373390.17,33.234043,LOS
46.933666,38373457.04,33.23333,LOS
47.552181,38373523.66,33.232624,LOS
48.168999,38373584.72,33.231911,LOS
47.573349,38373651.39,33.231209,LOS
47.470528,38373717.46,33.230492,LOS
47.251419,38373784.15,33.229786,LOS
46.923889,38373845.11,33.229084,LOS
47.318729,38373911.96,33.228363,LOS
46.701183,38373978.34,33.227665,LOS
46.318405,38374045.02,33.226952,LOS
46.434566,38374106.1,33.226242,LOS
46.274918,38374172.75,33.225529,LOS
45.811703,38374239.29,33.224827,LOS
46.01424,38374305.63,33.224117,LOS
46.202385,38374366.91,33.223412,LOS
47.194843,38374433.4,33.222702,LOS
47.735401,38374499.76,33.221996,LOS
47.615623,38374560.93,33.221291,LOS
47.850822,38374627.28,33.220585,LOS
48.032291,38374693.76,33.219875,LOS
47.479343,38374759.7,33.219166,LOS
46.724369,38374820.96,33.218464,LOS
46.539631,38374887.09,33.217758,LOS
45.607323,38374953.5,33.217049,LOS
46.288986,38375019.99,33.216343,LOS
46.773357,38375080.94,33.215637,LOS
47.474365,38375147.47,33.214928,LOS
46.71032,38375214.12,33.214226,LOS
45.306965,38375275.22,33.213524,LOS
45.043568,38375341.42,33.212818,LOS
44.422112,38375407.55,33.212109,MP
45.320911,38375473.68,33.211407,LOS
45.410439,38375534.65,33.210705,LOS
45.791409,38375601.08,33.209999,LOS
46.878078,38375667.3,33.209297,LOS
48.075764,38375733.57,33.208591,LOS
48.460201,38375794.73,33.207893,LOS
48.647133,38375860.75,33.20718,LOS
48.004532,38375926.71,33.206474,LOS
47.986889,38375993.17,33.205772,LOS
47.235203,38376053.94,33.20507,LOS
46.698074,38376120.55,33.204365,LOS
46.655998,38376186.65,33.203667,LOS
46.750626,38376247.28,33.202957,LOS
47.647659,38376313.8,33.202259,LOS
47.547119,38376379.91,33.201553,LOS
47.678284,38376440.83,33.200855,LOS
48.461777,38376507.61,33.20015,LOS
48.477665,38376573.82,33.199444,LOS
47.98177,38376634.75,33.198746,LOS
47.471184,38376700.93,33.198048,LOS
46.507118,38376767.75,33.197338,LOS
45.868767,38376828.55,33.196636,LOS
45.918144,38376894.61,33.19593,LOS
45.582512,38376960.96,33.195232,LOS
46.083595,38377026.86,33.194534,LOS
46.127666,38377087.79,33.193832,LOS
46.362469,38377153.69,33.19313,LOS
47.056114,38377219.61,33.192432,LOS
46.75127,38377280.34,33.19173,LOS
45.558552,38377346.6,33.191029,LOS
45.219837,38377412.79,33.190331,LOS
45.763817,38377473.7,33.189629,LOS
47.515995,38377539.9,33.188927,LOS
47.888268,38377605.64,33.188229,LOS
47.510952,38377671.63,33.187523,LOS
46.344807,38377732.3,33.186825,LOS
46.36549,38377798.28,33.186123,LOS
45.893787,38377863.93,33.185429,LOS
46.186131,38377924.45,33.184731,LOS
46.629028,38377990.31,33.184025,LOS
46.263443,38378056.28,33.183331,LOS
46.006493,38378116.73,33.182632,LOS
45.724445,38378182.55,33.181942,LOS
46.487507,38378248.29,33.181232,LOS
46.823994,38378314.15,33.180531,LOS
46.528637,38378374.68,33.179836,LOS
46.805798,38378440.43,33.179134,LOS
46.481297,38378506.12,33.178444,LOS
46.032154,38378572.11,33.177738,LOS
45.712009,38378632.33,33.177044,LOS
45.691265,38378698.02,33.176346,LOS
46.610718,38378763.4,33.175652,LOS
