C/NO-1 (dB-Hz),PR-1 (m),Elevation-1 (deg),output-1
51.672279,36337492.78,59.092525,LOS
51.300838,36337486.42,59.092556,LOS
50.994106,36337474.81,59.092598,LOS
51.199276,36337468.31,59.09264,LOS
51.28582,36337461.73,59.092678,LOS
51.027699,36337455.3,59.092712,LOS
51.090714,36337443.42,59.092762,LOS
51.24419,36337437.13,59.092796,LOS
50.9142,36337430.52,59.092834,LOS
51.438725,36337423.95,59.092876,LOS
51.427528,36337411.78,59.092918,LOS
51.306274,36337405.32,59.092953,LOS
51.296719,36337398.71,59.092999,LOS
51.413113,36337386.7,59.093044,LOS
51.559425,36337380.17,59.093082,LOS
51.458542,36337373.42,59.093121,LOS
51.169739,36337366.98,59.093166,LOS
50.792995,36337360.31,59.093212,LOS
50.865738,36337348.41,59.093246,LOS
51.09037,36337341.67,59.093281,LOS
50.930908,36337335.24,59.09333,LOS
50.809307,36337323.4,59.093365,LOS
50.698662,36337316.82,59.093403,LOS
50.856716,36337310.26,59.093452,LOS
50.060696,36337303.77,59.093491,LOS
49.943981,36337291.94,59.093533,LOS
49.800785,36337285.65,59.093575,LOS
49.904243,36337279.13,59.093616,LOS
49.760914,36337272.59,59.093666,LOS
49.478691,36337260.89,59.093704,MP
49.337994,36337254.43,59.093742,MP
48.768745,36337248.16,59.093788,MP
49.150967,36337236.4,59.093819,MP
49.364933,36337230.12,59.093868,MP
48.743904,36337223.67,59.093903,MP
48.471134,36337211.89,59.093952,MP
47.93623,36337205.73,59.093994,MP
48.041023,36337199.32,59.094032,MP
48.069389,36337187.67,59.094078,MP
48.290554,36337181.07,59.09412,MP
48.621582,36337174.75,59.094162,MP
48.932774,36337168.09,59.094204,MP
48.764435,36337156.27,59.09425,MP
48.981941,36337149.68,59.094296,MP
49.409363,36337143.01,59.094341,MP
49.372841,36337130.96,59.094379,MP
49.184669,36337124.69,59.094421,MP
49.421562,36337118.16,59.094463,MP
49.653709,36337111.55,59.094505,LOS
49.269791,36337099.52,59.094547,MP
49.358536,36337092.72,59.094593,MP
49.374538,36337086.15,59.094643,MP
49.595684,36337079.63,59.094681,LOS
50.014229,36337067.74,59.094723,LOS
49.940121,36337061.17,59.094761,LOS
50.059658,36337054.81,59.094803,LOS
50.478958,36337048.44,59.094849,LOS
50.834423,36337036.45,59.094898,LOS
51.171768,36337030.05,59.094944,LOS
51.045467,36337023.44,59.094982,LOS
51.12299,36337011.58,59.09502,LOS
51.42495,36337004.96,59.09507,LOS
51.375916,36336998.41,59.095112,LOS
51.281239,36336991.59,59.095161,LOS
51.190884,36336979.62,59.0952,LOS
51.554619,36336972.9,59.095249,LOS
51.052517,36336966.33,59.095299,LOS
52.015038,36336954.52,59.095337,LOS
52.194824,36336947.82,59.095383,LOS
52.234573,36336941.14,59.095432,LOS
52.121853,36336934.5,59.09547,LOS
51.907536,36336922.37,59.095516,LOS
51.948078,36336915.86,59.095558,LOS
51.687832,36336909.34,59.095604,LOS
51.665207,36336902.87,59.095657,LOS
51.877422,36336890.92,59.095692,LOS
52.250546,36336884.35,59.095745,LOS
51.97847,36336877.73,59.095787,LOS
51.920227,36336865.85,59.095825,LOS
52.436272,36336859.17,59.095875,LOS
52.071781,36336852.52,59.095924,LOS
52.001507,36336840.58,59.095963,LOS
51.920712,36336834.01,59.096004,LOS
52.030865,36336827.27,59.096054,LOS
51.796577,36336820.83,59.096104,LOS
51.765358,36336808.74,59.096146,LOS
51.379379,36336802.03,59.096191,LOS
51.683205,36336795.32,59.096241,LOS
51.74332,36336783.23,59.096287,LOS
52.004238,36336776.51,59.096333,LOS
52.062405,36336769.73,59.096375,LOS
51.639988,36336762.76,59.096424,LOS
51.878101,36336750.78,59.096474,LOS
51.818951,36336743.88,59.096516,LOS
51.701344,36336737.38,59.096561,LOS
51.631294,36336725.29,59.096607,LOS
51.729942,36336718.22,59.096657,LOS
51.6087,36336711.13,59.096699,LOS
51.706379,36336704.32,59.096748,LOS
51.565826,36336692.3,59.096794,LOS
51.337765,36336685.51,59.096836,LOS
51.220562,36336678.61,59.096893,LOS
51.100513,36336671.89,59.096943,LOS
51.165337,36336659.75,59.096981,LOS
51.280884,36336652.91,59.097031,LOS
51.472237,36336646.13,59.09708,LOS
51.35284,36336639.19,59.09713,LOS
51.333313,36336627.19,59.097172,LOS
51.380959,36336620.37,59.097221,LOS
51.437984,36336613.29,59.097263,LOS
51.495949,36336601.19,59.097317,LOS
51.196419,36336594.53,59.097366,LOS
51.305794,36336587.82,59.097404,LOS
51.403694,36336580.8,59.097454,LOS
51.275658,36336568.48,59.097504,LOS
51.091057,36336561.53,59.097557,LOS
51.391247,36336554.67,59.097603,LOS
51.232948,36336547.84,59.097637,LOS
51.246193,36336535.6,59.097702,LOS
51.369122,36336528.99,59.09774,LOS
51.554554,36336522.26,59.09779,LOS
51.652451,36336510.2,59.097836,LOS
51.742794,36336503.48,59.097885,LOS
51.703438,36336496.73,59.097931,LOS
51.395695,36336489.79,59.097988,LOS
51.056072,36336477.34,59.098038,LOS
50.793579,36336470.68,59.09808,LOS
50.901203,36336463.94,59.098129,LOS
50.807064,36336456.92,59.098179,LOS
50.752476,36336444.56,59.098232,LOS
50.232475,36336437.77,59.098274,LOS
50.137646,36336430.86,59.098328,LOS
49.817657,36336424.12,59.098366,LOS
49.337227,36336411.94,59.098423,MP
49.197788,36336405.04,59.098473,MP
48.710403,36336398.11,59.098526,MP
49.185001,36336385.92,59.098564,MP
49.665615,36336379.14,59.098618,LOS
49.988869,36336372.45,59.098667,LOS
50.172699,36336360.38,59.098717,LOS
50.224609,36336353.85,59.09877,LOS
50.349453,36336347.33,59.098812,LOS
50.364925,36336335.32,59.098866,LOS
50.921478,36336328.54,59.098919,LOS
50.939976,36336321.85,59.098969,LOS
50.863899,36336309.66,59.099018,LOS
50.945316,36336303.18,59.099068,LOS
51.128441,36336296.34,59.099121,LOS
51.191467,36336289.69,59.099174,LOS
51.341076,36336277.34,59.099216,LOS
51.322922,36336270.52,59.099281,LOS
50.669697,36336263.57,59.099312,LOS
50.886829,36336251.38,59.099373,LOS
50.551205,36336244.48,59.099422,LOS
50.310352,36336237.72,59.099476,LOS
50.602173,36336225.51,59.099522,LOS
50.659309,36336218.69,59.099571,LOS
50.695278,36336211.71,59.099621,LOS
51.315308,36336204.82,59.099674,LOS
51.275124,36336192.67,59.099728,LOS
51.246784,36336186.06,59.099785,LOS
50.953751,36336179.11,59.099823,LOS
50.597488,36336166.82,59.099876,LOS
50.917973,36336159.73,59.099926,LOS
51.114342,36336152.76,59.099979,LOS
50.928276,36336140.58,59.100037,LOS
51.348251,36336133.74,59.10009,LOS
51.790504,36336126.32,59.100128,LOS
51.298927,36336119.46,59.100189,LOS
51.808956,36336106.98,59.100231,LOS
51.290642,36336100.13,59.100296,LOS
51.805676,36336093.05,59.100334,LOS
51.658207,36336086.22,59.100395,LOS
51.497257,36336073.86,59.100445,LOS
51.694614,36336066.76,59.100498,LOS
51.598278,36336059.68,59.100548,LOS
51.763565,36336047.2,59.100601,LOS
51.842045,36336039.94,59.100651,LOS
51.446369,36336032.75,59.100704,LOS
51.76947,36336025.65,59.100761,LOS
51.523865,36336013.26,59.100815,LOS
51.411888,36336005.95,59.100868,LOS
50.792942,36335999.01,59.100918,LOS
50.558819,36335991.69,59.100964,LOS
50.531906,36335979.19,59.101017,LOS
50.551056,36335971.84,59.101082,LOS
49.957043,36335964.56,59.101131,LOS
49.937355,36335957.52,59.101173,LOS
49.359848,36335944.88,59.101231,MP
49.447208,36335937.71,59.101284,MP
49.336845,36335930.47,59.101337,MP
49.261536,36335923.02,59.101387,MP
49.487278,36335910.32,59.10144,MP
49.550766,36335903.0,59.101498,LOS
48.741623,36335895.68,59.101559,MP
49.133369,36335888.76,59.101604,MP
48.377754,36335876.45,59.101658,MP
48.074291,36335869.3,59.101719,MP
48.30846,36335862.18,59.101761,MP
48.370808,36335854.92,59.101818,MP
48.488132,36335842.42,59.101871,MP
48.697411,36335835.56,59.101929,MP
49.400921,36335828.45,59.101982,MP
49.450352,36335815.95,59.102039,MP
49.71722,36335809.19,59.102097,LOS
50.224842,36335802.0,59.102146,LOS
50.150467,36335794.9,59.1022,LOS
50.202953,36335782.45,59.102257,LOS
50.149178,36335775.34,59.102303,LOS
50.370144,36335768.0,59.10236,LOS
50.374596,36335755.63,59.102413,LOS
50.633316,36335748.43,59.102467,LOS
50.854126,36335741.15,59.102528,LOS
50.57555,36335734.02,59.102581,LOS
50.284954,36335721.66,59.102631,LOS
50.932171,36335714.34,59.102684,LOS
51.219154,36335707.42,59.102737,LOS
51.229599,36335694.98,59.102795,LOS
51.436508,36335688.07,59.102856,LOS
51.821236,36335680.99,59.102913,LOS
51.555882,36335673.95,59.102966,LOS
51.529144,36335661.26,59.10302,LOS
51.283737,36335654.0,59.103073,LOS
51.590813,36335646.81,59.10313,LOS
51.985718,36335634.14,59.103184,LOS
51.781239,36335626.97,59.103237,LOS
51.356709,36335619.78,59.103291,LOS
50.884113,36335612.54,59.103355,LOS
50.967842,36335600.06,59.103409,LOS
50.272259,36335592.57,59.103466,LOS
50.479156,36335585.26,59.103523,LOS
50.492958,36335572.76,59.103577,LOS
51.78297,36335565.57,59.103642,LOS
50.84647,36335558.23,59.103691,LOS
50.594944,36335551.08,59.103752,LOS
50.75116,36335538.34,59.103806,LOS
50.769485,36335531.14,59.103859,LOS
50.706223,36335523.87,59.103924,LOS
50.390938,36335511.45,59.103977,LOS
50.376144,36335504.12,59.104031,LOS
50.284431,36335496.97,59.104092,LOS
50.142147,36335489.66,59.104141,LOS
49.845142,36335477.23,59.104198,LOS
49.21553,36335469.93,59.104259,MP
49.160931,36335462.66,59.104317,MP
49.368053,36335449.86,59.104374,MP
49.733982,36335442.76,59.104427,LOS
50.107925,36335435.12,59.104481,LOS
50.590012,36335427.96,59.104546,LOS
50.648273,36335415.1,59.104603,LOS
51.04113,36335407.78,59.10466,LOS
51.028824,36335400.43,59.104721,LOS
51.365665,36335393.25,59.104778,LOS
51.114628,36335380.3,59.104832,LOS
51.504253,36335372.91,59.104889,LOS
51.567535,36335365.31,59.104946,LOS
51.661057,36335357.95,59.105,LOS
51.839886,36335345.07,59.105064,LOS
51.651352,36335337.73,59.105122,LOS
51.780972,36335330.3,59.105186,LOS
51.797981,36335322.85,59.105236,LOS
51.880894,36335309.87,59.105293,LOS
51.966442,36335302.45,59.105354,LOS
51.615299,36335294.86,59.105419,LOS
51.195427,36335287.37,59.105473,LOS
51.503815,36335274.71,59.105526,LOS
51.110794,36335267.23,59.105591,LOS
50.936348,36335259.71,59.105652,LOS
51.095211,36335246.94,59.105698,LOS
50.813633,36335239.2,59.105762,LOS
50.494598,36335232.02,59.105824,LOS
50.535767,36335224.38,59.105881,LOS
50.211388,36335211.49,59.105942,LOS
50.128254,36335204.09,59.106007,LOS
49.492672,36335196.61,59.10606,MP
49.374115,36335189.05,59.106125,MP
50.108337,36335176.53,59.106178,LOS
50.001801,36335169.18,59.106236,LOS
50.018425,36335161.67,59.106297,LOS
50.015167,36335154.1,59.106361,LOS
50.159218,36335141.48,59.106415,LOS
50.613041,36335134.0,59.10648,LOS
50.245525,36335126.59,59.106533,LOS
50.093414,36335113.68,59.106594,LOS
49.498665,36335106.52,59.106651,MP
49.720474,36335098.99,59.106716,LOS
50.335518,36335091.61,59.106777,LOS
49.892941,36335078.78,59.106831,LOS
49.685455,36335071.6,59.106892,LOS
49.967937,36335064.06,59.106953,LOS
49.636795,36335056.59,59.107006,LOS
49.516457,36335043.58,59.107071,LOS
49.641144,36335036.24,59.107132,LOS
49.667717,36335028.57,59.107193,LOS
49.60841,36335021.32,59.107262,LOS
49.657745,36335008.28,59.107319,LOS
49.63348,36335001.14,59.107388,LOS
50.027054,36334993.85,59.107441,LOS
50.034576,36334981.04,59.107506,LOS
49.277721,36334973.18,59.107559,MP
48.981445,36334965.55,59.107624,MP
48.797802,36334952.41,59.107689,MP
49.211246,36334944.64,59.107742,MP
49.297569,36334936.75,59.107807,MP
48.970108,36334929.14,59.107872,MP
48.941071,36334921.54,59.107929,MP
48.818615,36334908.56,59.107994,MP
49.095844,36334900.56,59.108055,MP
49.463886,36334892.97,59.108109,MP
50.349308,36334885.22,59.108177,LOS
50.384819,36334872.4,59.108234,LOS
50.307636,36334864.75,59.108295,LOS
49.859165,36334856.93,59.108364,LOS
50.523937,36334848.99,59.108421,LOS
50.983761,36334836.12,59.108482,LOS
51.317703,36334828.33,59.108551,LOS
51.75396,36334820.73,59.108616,LOS
51.883823,36334813.2,59.108673,LOS
52.044697,36334800.31,59.108738,LOS
52.015251,36334792.7,59.108799,LOS
52.294094,36334785.28,59.108856,LOS
52.100826,36334772.14,59.108921,LOS
52.45734,36334764.47,59.108986,LOS
52.148407,36334756.83,59.109043,LOS
51.880894,36334749.29,59.109112,LOS
51.800186,36334735.93,59.109184,LOS
52.04887,36334728.12,59.109238,LOS
52.024879,36334720.39,59.109295,LOS
51.80233,36334712.6,59.109367,LOS
51.769138,36334699.52,59.109425,LOS
51.774986,36334692.07,59.109489,LOS
51.762039,36334684.23,59.109558,LOS
51.441128,36334676.43,59.109619,LOS
51.158279,36334663.11,59.10968,LOS
51.342163,36334655.51,59.109741,LOS
51.090088,36334647.6,59.109806,LOS
50.946915,36334639.91,59.109863,LOS
50.668301,36334626.8,59.109932,LOS
50.635319,36334619.38,59.109993,LOS
50.18177,36334611.46,59.110062,LOS
